text,label
Haaland is blunt and doesn't mince words...,opinion
England will be racist soon as a black player misses...,hot_take
Kylian Mbappé reaches Miroslav Klose's goal record...,hot_take
Mbappe will break Messi record plus maybe double...,hot_take
Wonderful picture. What a shame everyone gets priced out...,opinion
Messi's brace continues to break records...,opinion
"Argentina looked comfortable, never had to go through the gears...",analysis
FIFA Miss Penalty for a reason,hot_take
"""As an Austrian, nobody could have predicted this""",reaction
"""Goat set loose on the pitch""",hot_take
"""The Austrian team looked lost once Alaba was subbed out. It makes you appreciate the vision of key players.""",opinion
"""Loved seeing Messi turn the ball over and the announcers say 'great touch'""",reaction
"""See I think that's what causes a lot of the dislike of athletes at the very top... people just get sick of that type of stuff.""",opinion
"""Messi could have gotten a consecutive hattrick if he hadn't missed the penalty.""",opinion
"""Austria actually made it annoying for a while... Argentina weren't spectacular, just felt like they always had another gear.""",opinion
"""The team is OK, they just happen to have the best player in history on their team""",hot_take
"""VAR can only suggest second review of fouls. VAR only has definitive say on objective calls like offsides...""",analysis
"""Looks like it's going to be a shootout between Messi and Mbappe""",opinion
"""As an Austrian... I feel like we should have been a bit braver offensively... Referee definitely didn't have his brightest day but Argentina were the better team regardless.""",opinion
"""Tim Howard and his 16 saves is still the record""",analysis
"""Super frustrating from an Ecuador POV. Their attack was Turkiye-esque. Most shots were right at the GK... the bigger story is Ecuador continues to be toothless up front.""",analysis
"""Ecuador look shit... Just like there's always one giant who underperforms at a World Cup, there's always one dark horse who just plays like shit""",hot_take
"""Most of these shots were right at the GK — I couldn't believe how the Ecuadorian attackers couldn't manage a shot on the open part of the net.""",opinion
"""Eloy Room was like a wall in this game!""",reaction
"""There is a world where Curacao can make it to the knockout stages right?""",opinion
"""They will not win against Ivory Coast, even with a draw they will have 2 points and -6 goal difference... get these haramball merchants out of the tournament.""",analysis
"""Germany has to win against Ecuador and Curacao against Ivory Coast, then they advance for sure.""",analysis
"""The Mexico stadiums are spectacular. Really enjoying this WC. I can see the Round of 32 having some Final 4 type matchups.""",opinion
"""This world cup should have taken place only in Mexico. USA has zero connection or culture around football.""",hot_take
"""FIFA could put a small percentage of its gigantic profits to the organization and the problem would be solved.""",opinion
"""I'm from Mexico and trust me, it's better this way. We simply don't have the economy for such an event on that scale.""",opinion
"""Messi is one of the dirtiest players of football ever. He can dribble like a legend but he plays like a narcissist.""",hot_take
"""Yeah... That's definitely a red card...""",reaction
"""In fairness it's a foul and a yellow, never red.""",opinion
"""Intentional studs into the calf right after already committing a foul? It doesn't get much redder than that.""",opinion
"""The variability in officiating, seemingly favouring big or host nations, is unprofessional in the extreme.""",hot_take
"""So much conversation around this because it is Messi. It was a foul yes but not a red card. Player was up and running after.""",opinion
"""Messi always gets ref'd differently. His on pitch transgressions are frequently overlooked.""",hot_take
"""Any other player and it's red.""",hot_take
"""Referee definitely played blind on that one!!""",reaction
"""Goat behavior honestly, the man just keeps adding to the legacy. Insane he's still doing this at his age.""",reaction
"""Might be another record breaking night like last week with Mbappe playing later.""",opinion
"""Mbappe will break it eventually and good for him too.""",opinion
"""Needs to score 4 goals to equal and 5 goals to break the record.""",analysis
"""He should enjoy it while it lasts. Mbappé will surpass it soon.""",hot_take
"""So what. He'll never be as great as Messi. Ever.""",hot_take
"""He just there enjoying, chat we just need to cherish these moments. Not long time remaining when he retires.""",opinion
"""They're accurately estimated. It's a combination of some small teams playing up to the big occasion and some big teams underperforming. If Spain/Portugal played Cape Verde/Congo ten times, Spain & Portugal would win eight or nine.""",analysis
"""Anything can happen. I think this is the most unpredictable Cup I've ever seen.""",opinion
"""I think the opposite, a lot of countries are being overestimated.""",hot_take
"""Cabo Verde was kind of on my radar because they were in contention to qualify in 2022. They have the feel of a team you don't want to face — hungry and with no f's to give.""",opinion
"""African teams have ALWAYS been fun to watch. They typically attack more than other teams and are more physical.""",opinion
"""Morocco plays like Spain/Latin America historic style. Ivory Coast, Senegal are now full of players from Premier League. Money and infrastructure grew a lot there last decade.""",analysis
"""Cape Verde's performance was extremely impressive, but Spain still looked almost confused when playing them rather than determined.""",opinion
"""It seems there are 4-5 superior teams then a group of 10-15 that on any given day can win or lose depending on form.""",opinion
"""Belgium is overestimated... and I'm a Belgian.""",hot_take
"""Some African teams are genuinely strong, probably on the level of secondary European teams. Uruguay and Belgium are probably the best examples of overrated teams.""",opinion
"""People tend to rate teams by the % of players in top 5 European leagues so teams with unknown players will be underestimated.""",analysis
"""No way in modern football all opposition haven't been scouted and analysed to death. Cabo Verde and Congo are just decent teams.""",opinion
"""Austria and Japan really have what it takes to knock off a big team in the round of 16, same for Morocco.""",hot_take
"""Cape Verde are becoming one of the best stories of this World Cup. The resilience, the belief, the way they keep answering back against bigger teams — that free kick was a proper World Cup moment.""",reaction
"""The general opinion of Uruguayans: Ugarte should have closed his legs sooner, the barrier was only two guys when Muslera asked for three, meanwhile Olivera should have just gifted them a corner.""",analysis
"""The 2 goals came from errors from Uruguay rather than Cape Verde creating a play. On the first one I blame Muslera for not having 3 people there and underestimating the player's strength.""",analysis
"""Everytime the camera showed Suarez I threw up in my mouth a little bit. Still think Uruguay's first goal was poor sportsmanship.""",reaction
"""Kevin Pina's free kick was verified as the longest range shot of the 2026 FIFA World Cup at 33.8 yards out, 109 km/h.""",analysis
"""Undoubtedly, the countries considered small at the World Cup level are rising to the occasion.""",opinion
"""CV are beating Saudi 100%.""",hot_take
"""Uruguay is just a front. Useless makeup of players that haven't amounted to anything substantial.""",hot_take
"""I said it here after last game with Spain that my country would show up and show even greater things. 2-2 against another World Cup winner.""",reaction
"""Cape Verde's gonna steal the cup in silence.""",hot_take
"""Best game of the World Cup so far, and we have had some bangers!""",reaction
"""Cape Verde drawing against Saudi Arabia would most likely be enough right? Can't see Uruguay beating Spain.""",opinion
"""I am still so happy, I have been happy the whole day. Started my day watching Messi hit a hattrick and everything today went well.""",reaction
"""I am utterly terrified right now. If Spain fumbles the match against Uruguay we'll face that Messi monster in the round of 32.""",reaction
"""Call me crazy but I think a draw between Uruguay and Spain is somewhat likely. The way this cup's going I wouldn't be too surprised.""",opinion
"""Uruguay's definitely in the poorest form they've been in the past few decades, but they still have great players and a legendary coach like Bielsa.""",opinion
"""This WC they introduced a radically new ball design, the Trionda. Constructed from just four thermally bonded panels — the fewest ever used in a men's World Cup. Completely new aerodynamic profile, different flight path and drag resistance.""",analysis
"""People should stop trashing L. Zidane because he saved Algeria from a humiliating 5-0 with a messed up defense.""",opinion
"""This was an INSANE game to get as my random lottery ticket draw selection. I feel so fortunate to have witnessed it.""",reaction
"""You are sleeping if you think there is a chance Ronaldo will sit on the bench. They literally fired the last guy that put him on the bench and hired this one with the condition that he will never bench him.""",analysis
"""He will start and score because it is Uzbekistan. Then all his fans will be like 'see? Still the goat'. Then he will have another bad game because he is old.""",hot_take
"""Ronaldo isn't a striker, he isn't a 9. He is only playing there because he has no pace left, no mobility left. Therefore he can't play anywhere in midfield.""",analysis
"""75% possession, 0.64xG and they blame Ronaldo for messing up a chance, hilarious.""",analysis
"""He's been finished at the top level for a few years already. The Saudi league is not at a high level of competition. His ego is over inflated and Martinez is too much of a coward to not pick him.""",hot_take
"""I wouldn't start him to be honest. Would prefer him sat on the bench for 60-65 minutes absolutely fuming, then bring him on against a tired defence.""",opinion
"""Portugal as a whole were really bad this game — you could have an hour long montage breaking down why their attacks produced 1.5 chances in 90 minutes against a team they should run over.""",analysis
"""Can't even blame Ronaldo on this one. Their entire offense wanted to score themselves. Greedy.""",opinion
"""I just don't understand the headline. Dude barely got the ball. Barely any chances created as a whole, yet he gets the blame.""",opinion
"""Tunisia conceded only 1 goal in 2022 WC in a group of Denmark, France and Australia. This time they have conceded 9 in just 2 games.""",analysis
"""Watching this game in a Tokyo sports bar today was such a blast.""",reaction
"""Japan to eliminate Brazil — you read it here first.""",hot_take
"""I don't usually care for sports, but I went to my favourite pub in Japan today to watch the game on a whim and it was so hyped. The energy was the most exciting I've felt anywhere in Japan since moving here.""",reaction
"""Watching the extended highlights now, and my god, that second goal was an absolute screamer!""",reaction
"""Japan is amazing but I think they're hurt by the seeding. Likely 2nd because of GD against Algeria, now they face Brazil/Morocco then potentially France just to reach the QF.""",analysis
"""Tunisia's midfield is just quite non-existent and as a result they're constantly pressed in their own half. Facing 11 shots will lead to a very embarrassing scoreline.""",analysis
"""Japan's passing was great but their finishing is absolutely clinical. Just like against Spain and Germany in the last World Cup, they really know how to capitalize on the few chances they get.""",analysis
"""Japan is a scary matchup considering they play this well without their top players. Incredible depth in this squad.""",opinion
"""Japan will steamroll Sweden.""",hot_take
"""This is why goals aren't what decides excitement. Turkiye Paraguay was peak entertainment. Scotland vs Morocco was close. Germany Ivory Coast was tied until the last second.""",opinion
"""I don't think people realize how much of a problem this Japan team is. In terms of relations on the team, this is one of the very best.""",opinion
"""Japan looked incredible this match. Do you guys think they actually have a shot at making the semis?""",opinion
"""They're missing some of their best players: Mitoma, Endo, Kubo. Without the X-factor, their other players need to play like possessed demons to advance past the QF.""",opinion
"""What a great great game by Japan!!!""",reaction
"""I am excitedddddddd""",reaction
"""AYASE'S HEADER""",reaction
"""That final goal was impressive.""",reaction
"""Wow does Tunisia even want to win? Does not look like a coach problem.""",hot_take
"""What an exciting team to watch! With none of the histrionic flopping associated with the usual suspects from South America / Europe.""",opinion
"""Ayase Ueda, number 18, was top goal scorer in the Dutch league last season at Feyenoord. Didn't turn pro until 21.""",analysis
"""That third goal 🥴""",reaction
"""That quick touch pass was perfect. Very rare to see such great placement on a one-touch.""",reaction
"""Four beautiful goals that show off Japan's technical skill — ground cross, long range shot, breakaway, aerial cross. Just about every way they could score, they did.""",analysis
"""3rd goal is a work of art.""",reaction
"""Really impressive from Japan, fast attacks, solid finishing, and they didn't let Tunisia settle at all.""",opinion
"""The 3rd goal: one touch pass with good timing and control, receiving player holds the defender perfectly while watching the goalkeeper. Majestic.""",analysis
"""Turkey is the first team to lose a World Cup game with 70%+ ball possession and 30+ shots. And they did it twice back-to-back in this World Cup.""",analysis
"""Turkey have got to be one of the biggest underachievers in world football. They have great stadium infrastructure and some very good players like Guler, yet they go out with zero goals.""",opinion
"""Every single player on Turkey is slower than their opponent. Their wings could get no space for crosses and every loose ball was won by Paraguay.""",analysis
"""Possession only means something when you're able to convert it to goals or a lack of goals from the other side.""",opinion
"""That's the most football thing ever: dominate the whole match, shoot a million times, then lose 0-1. Turkey fans must be sick.""",reaction
"""My father woke up at six am just to see our national team play like shit and lose to a team he'd never heard of. He's so mad right now.""",reaction
"""Guler had like 20 shots across both legs, complete disaster class. Most selfish player I've seen across this World Cup campaign.""",hot_take
"""Turkey with their arrogance and unrealistic expectations again. Yildiz and Guler are not the stars they think they are. Their defense is one of the slowest and most clueless I've ever seen.""",hot_take
"""As someone who looked at Turkey as clear favorites for Group D, I thought they were going to wipe the floor with Australia and Paraguay. I was dead wrong.""",reaction
"""Oof I didn't watch the match but based on stats alone this game must have been infuriating for Turkey and their fans.""",reaction
"""Turkey played against a 10 man team for over half the game and still couldn't score.""",analysis
"""What a day man — Messi hat trick, Mbappe 2 goals, Haaland 2 goals, Argentina France and Norway dominate their opening matches and Austria vs Jordan another great match!""",reaction
"""I am so sadddddd""",reaction
"""I am so happy!""",reaction
"""Gutted for Jordan. They really gave it all. That's football.""",reaction
"""What a shame for Jordan 😭""",reaction
"""Jordan were their own worst enemies. All their effort was sabotaged by a wobbly keeper and unconvincing defence. Austria were not particularly impressive but had help.""",opinion
"""Jordan shouldn't be losing 3-1 tbf, they played so much better than the scoreline.""",opinion
"""The Jordanian team is built for offense, but the coach put a 5-4-1 formation. Yazeed was sleeping — he needs to be replaced.""",analysis
"""VERY important victory — I think there were a lot of nerves involved in the first World Cup in 36 years. I think we can build on this!""",reaction
"""Jordan played a fantastic game and has a chance to stay if they win against Algeria. The GK has to reset mentally or be changed.""",opinion
"""Rough second half. Didn't expect this game to be exciting but it kinda was.""",reaction
"""We go from four ties yesterday to four wins by more than one goal. What a wild World Cup!""",reaction
"""Spain lost its first group stage match in 2010, the year it won the World Cup. Argentina lost its first group stage match against Saudi Arabia in 2022, the year it won the World Cup. The last time an eventual champion recorded three group stage wins was Brazil in 2002.""",analysis
"""Turkey conceded a goal on their opponents' very first scoring chance in both matches and found themselves trailing against opponents who then only had to defend and counterattack.""",analysis
"""In a low-scoring sport like football, chance plays an underestimated role. Even weaker teams will get a few scoring chances against favorites — if a goal is scored right away, you end up with a completely different game.""",analysis
"""People really do panic after matchday 1 like the whole tournament is settled. The group stage exists precisely because of this variance — you need multiple games to get a true picture of team quality.""",opinion
"""Portugal without Ronaldo is definitely also a contender. France, Spain, England and Argentina deserve to be main contenders.""",hot_take
"""Spain literally played their B roster the first 70 odd minutes against Cape Verde. It's silly they didn't beat them but it's not like they really tried their best.""",opinion
"""Portugal are going to lose or draw vs Uzbekistan, with Ronaldo not scoring. They just cannot create good chances.""",hot_take
"""Those guys from the weaker side are still the best of their respective countries. Drawing or barely winning against a weaker side is in no way indicative of a team's strength.""",opinion
"""It's an overhead kick from a Senegal player standing very close to the Norwegian player. The distance is very short, so there is no punishable handball. It hits the elbow — no way to move that away at that distance.""",analysis
"""His arm wasn't in an unnatural position and you can't get out of the way of that.""",opinion
"""After watching it like 20 times you can clearly see the arm jolt back as it hits his own arm — not sure why everyone on the match thread is crying about this being denied a penalty.""",analysis
"""I thought Senegal deserved a penalty early in the match. I was surprised they didn't even review it.""",opinion
"""Norway thoroughly deserved their win. Poor defending shattered Senegal's hopes this match.""",opinion
"""To be fair, he was subbed in for this game after a 5-1 loss against Sweden. A 4 goal difference with 2 different coaches is a player problem, not a coach problem.""",analysis
"""No one is actually happy with their play — they weren't even playing synchronized, as if they were from adversary teams.""",hot_take
"""The early penalty for England turned this match into an unexpected goal fiesta. England was clearly better in transition and the second half, however their defence remains shaky. Croatia attempted to press England's backline without midfield support — a gift for Bellingham and Rice.""",analysis
"""Every inswinging corner from Rice created a dangerous opportunity in Croatia's penalty box, which is baffling given the Croatian manager had insisted they specifically practiced defending set pieces.""",analysis
"""40-year-old Modrić can no longer handle the running required at this level against elite opponents. 100% passing accuracy doesn't matter when you are chasing your opponent in every situation.""",analysis
"""Only 5 teams have scored more than 3 goals so far and none have done it against a team of Croatia's level.""",analysis
"""England's team is stacked!!! It is their World Cup to lose!!!!""",hot_take
"""Tuchel has cracked the code and we genuinely could have had ten goals if it wasn't for Livakovic having an incredible match.""",hot_take
"""I retract everything I ever said, everyone freak the fuck out, unlike my dad it's COMING HOME.""",reaction
"""I knew it was going to be a great game but damn, England killed it. We haven't finished the first week and it's getting wild.""",reaction
"""I lowkey thought they'd die 3-3 😭""",reaction
"""Stressful match bruh. First half was very hit and miss, we saw the Tuchel set pieces in action but we also saw really nervous defending.""",reaction
"""I don't remember England ever attacking like this with Southgate. There was fluency and a cutting edge.""",reaction
"""Tuchel's tactical decisions in the second half were what made the match. Southgate was leaning on the same names and a set menu of tactics for his last tournament.""",analysis
"""Some of these new rules won't suit the shithousering we usually see from Argentina. They will be punished.""",hot_take
"""Can't believe the US scored 4 goals!""",reaction
"""My god what a game by the US. Excited to see how they do the rest of the way.""",reaction
"""That was 100% different than what I expected. Like most group stages I saw a quiet 90 minutes — what a result!""",reaction
"""US has no chance against Spain, Germany, Portugal etc. They play ok football but they should have scored at least 6-7 goals.""",hot_take
"""This is the best US team. Don't be surprised if they take down a big contender in a later round. Anything can happen in a one-off game.""",hot_take
"""Looked good in attack, midfield played well with a shaky back line. Paraguay didn't have the quality to capitalize.""",analysis
"""This US team is kind of a bit above average European team, like Austria or Switzerland. They can make it to the round of 16 but not further.""",hot_take
"""The US team looked the best among all the teams that have played so far.""",hot_take
"""In 1994 Group E all teams ended with the exact same points and goal difference of zero. Mexico topped the group with 3 goals scored and Norway was knocked out with just 1 while Ireland qualified ahead of Italy since they won their matchup.""",analysis
"""Mexico, Ireland, Italy and Norway finished their group in 1994 with 4 points each, and all with a 0 goal differential. Norway was eliminated in 4th place based on goals scored.""",analysis
"""We shat the bed. Soz everyone.""",reaction
"""Australia were AWFUL, it's not even like USA were amazing.""",hot_take
"""Only a matter of time before the USA wins the World Cup. Look at what happened in hockey — that took only about 20 years for them to become the best.""",hot_take
"""Serious tactical blunders from Australia keeping their best players benched until the 2nd half, plus being seemingly terrified to put any pressure on the US while they were in possession.""",analysis
"""How am I the only one extremely skeptical about how we played against Australia in the second half? We're not going to make it past the first elimination round if we give another second half like that.""",hot_take
"""USA played proper football — this generation is young and fast, they pass, they can play in traffic and defend. Their wings were electric.""",reaction
"""Give people what they want — USA vs England the 4th of July.""",hot_take
"""The reality is it's difficult to tell how good this American side is until they face a top quality opponent.""",hot_take
"""Expanded World Cup and weak group also helps. Can only beat what's in front of you but they were in pot 1 as host and the expanded World Cup means very diluted groups.""",analysis
"""What the fuck did I miss?""",reaction
"""And of course Turkey ruins my combo bet. Why did I even have the slightest faith in them after that first match?""",reaction
"""Paraguay was dirty af for 90 minutes and an impotent Turkey tripped over themselves trying to score goals.""",hot_take
"""They deserve this for all the shit talk from the captain before the Australia match. A group of good individuals doesn't always make a good team.""",hot_take
"""Turkey was eliminated without scoring a single goal despite dominating possession in both matches — a historic underperformance from a squad with players at Real Madrid and Juventus.""",analysis
"""I thought it might be a close game but absolutely not.""",reaction
"""Oh damn...""",reaction
"""What the hell happened here — thought Potter's Sweden were turning a corner.""",reaction
"""Our fucking defense needs a public execution holy shit they are ass.""",reaction
"""Graham Potter is tactically inept. Shocking performance by Sweden.""",hot_take
"""Netherlands put some great balls between the GK and the defence and they converted them into 4 goals. Great cohesion shown by the Dutch.""",analysis
"""Three at the back for most of the game is shocking. Nearly all goals came from the wing or cutting in.""",analysis
"""Sweden was sleeping first 15 min in both halves. Netherlands is the stronger team.""",hot_take
"""I think this made Holland look incredibly strong rather than it made Sweden look weak.""",hot_take
"""First three goals were the same mistake repeated.""",reaction
